,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity
557,1zHPRenzLeI2vhT7nlR6Mq,Yellowjackets,2014-06-08T05:57:25Z,1981-06-10,12051.0,47821,"['jazz funk', 'jazz fusion', 'smooth jazz']",43
558,1zjqPZmlIYTMAjmDtigRSo,Olga Bell,2018-03-28T00:47:19Z,2016-05-27,670.0,3931,"['electra', 'fluxwork']",23
559,2034uibaRUDuepYZYqnbPd,Kim Do Yeon,2017-09-13T20:12:07Z,2017-08-14,30.0,157,[],22
560,20dRvQDfCTLJU0pgq13ZYp,Your Old Droog,2017-03-22T16:47:10Z,2017-03-10,12.0,24440,"['alternative hip hop', 'boom bap']",45
561,20qISvAhX20dpIbOOzGK3q,Nas,2014-09-05T06:27:04Z,1994-04-19,6456.0,1726558,"['conscious hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'pop rap', 'rap']",76
562,20vuBdFblWUo2FCOvUzusB,David Byrne,2018-02-18T23:09:14Z,2018-01-08,41.0,181299,"['art pop', 'art rock', 'dance rock', 'permanent wave']",58
563,20wkVLutqVOYrc0kxFs7rA,Daniel Caesar,2017-08-29T20:25:22Z,2017-08-25,4.0,1623715,"['canadian contemporary r&b', 'pop']",82
564,21SOnTj5ECwVXeBUTRcP3s,Cory Henry,2016-09-13T23:17:26Z,2012-02-06,71.0,79495,"['jazz organ', 'retro soul']",43
565,21TinSsF5ytwsfdyz5VSVS,dodie,2019-02-08T06:00:47Z,2019-01-18,21.0,575661,"['indie pop', 'pop']",70
566,21XbnrbEMUTZelIfoV12hC,J. Tillman,2016-11-15T22:16:36Z,2010-09-14,2254.0,49283,"['chamber pop', 'indie folk', 'stomp and holler']",43
567,22KzEvCtrTGf9l6k7zFcdv,Aaron Parks,2012-06-09T01:09:30Z,2008-01-01,0.0,20556,"['contemporary jazz', 'contemporary post-bop', 'indie jazz', 'jazz piano', 'swedish jazz']",40
568,22RISwgVJyZu9lpqAcv1F5,Blossoms,2016-09-28T18:09:40Z,2016-08-05,54.0,218052,"['english indie rock', 'indie rock', 'modern rock', 'rock']",66
569,22kfTc6eMYiVCYH6TbJ39G,Todd Hildreth,2012-07-23T00:49:08Z,2005-08-01,2548.0,48,[],2
570,237w5zTEzeK7mQpttwOAuB,Pkwy,2018-03-04T03:51:07Z,2018-03-02,2.0,98,[],2
571,239flPe0WF2u9LFbFyhRia,Blue Skies For Black Hearts,2012-04-18T17:13:47Z,2008-01-01,1569.0,137,['portland indie'],6
572,23EA28263XvtIrXuySX6oI,Francis and the Lights,2017-11-15T23:14:07Z,2008-08-08,3386.0,113363,['alternative r&b'],64
573,23ElmuKLosPuHchIPXuq5G,Bushman'S Revenge,2016-09-09T17:13:25Z,2016-09-02,7.0,2258,"['dark jazz', 'norwegian experimental', 'norwegian jazz']",23
574,23MIhFHpoOuhtEHZDrrnCS,The Field,2016-05-16T05:47:08Z,2007-03-26,3339.0,43543,"['ambient', 'art pop', 'balearic', 'bass music', 'chillwave', 'electronica', 'indietronica', 'intelligent dance music', 'microhouse', 'minimal techno']",45
