,Artist ID,Followers,Genres,Artist Popularity
214,3koiLjNrgRTNbOwViDipeA,3071566,"['classic soul', 'funk', 'motown', 'northern soul', 'quiet storm', 'soul']",78
215,5bepW5vcdRzheNc0F8lHJ5,234393,"['electric bass', 'jazz fusion', 'neo r&b', 'neo soul', 'vocal jazz']",57
216,6pYC762YRnzPbWyn7QCwZs,94,[],4
217,6l7R1jntPahGxwJt7Tky8h,9086,[],51
218,78CgVNlDQMvOVDIrRL84tJ,10693,['london indie'],44
219,0hNK7ZdOjiUJd2C17JAjK8,2944,[],22
220,3GNzfnhVE1aY6fgK403107,929,['fourth world'],36
221,3uUFClFtbjbjQQIq4BjY2C,7393,"['21st century classical', 'american 21st century classical', 'laboratorio']",36
222,798TUNb6IfpsZzMkkzVGu1,17331,"['contemporary jazz', 'jazztronica']",37
223,0yrzenuzq46YnfnkqaAW4D,7461,"['indie jazz', 'neo r&b']",32
224,73BDzWqbf1grbgQ8xYn2ou,53733,"['french indie pop', 'french indietronica', 'new french touch']",58
225,6vWDO969PvNqNYHIOW5v0m,20889885,"['dance pop', 'pop', 'r&b']",89
226,5IcR3N7QB1j6KBL8eImZ8m,2826843,"['hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap', 'underground hip hop']",81
227,12fRkVfO2fUsz1QHgDAG3g,87679,"['art pop', 'chamber pop', 'folk-pop', 'indie folk', 'indie pop', 'indie rock', 'sydney indie']",60
228,3GmA6wWF7cBW2aX69u699R,852,['seattle indie'],13
229,0LZac5VicY19QLaIUvIB0G,48012,"['anti-folk', 'art pop', 'art rock', 'chamber pop', 'chamber psych', 'dream pop', 'experimental pop', 'folk-pop', 'freak folk', 'garage psych', 'indie folk', 'indie pop', 'indie rock', 'lo-fi', 'neo-psychedelic', 'noise pop', 'singer-songwriter', 'slow core', 'welsh indie']",53
230,6Xo1vXFRCEJPgVqCyHlTPW,4419,['experimental ambient'],37
231,1QfEfvB62EEl4upf2ANKkR,20389,"['alternative r&b', 'indie r&b', 'indie soul', 'uk contemporary r&b']",54
232,0Qnzp2no3f8GqBNh7Jywtt,1097,[],18
233,3HnrKwN3HT9BXwyrDWQCFx,3701,['japanese jazz'],22
234,5mMkUZv8uUrlH0SHX89BeS,115621,"['acid jazz', 'bboy', 'electro swing', 'electronica', 'indie soul', 'new french touch', 'nu jazz']",63
235,5Z8f9vMUAAl6xxFMLUm8py,39,[],4
