,index,Artist ID,Primary Artist,Added At,Release Date,Days Until Discovery,Followers,Genres,Artist Popularity,First Popularity Peak,Popularity When Discovered
870,870,4y00mxRWfeDMBGJVc1ighk,Ironing Board Sam,2019-04-05T04:10:30Z,2015-10-02,1281.0,269,[],8,2014-09-01,0.0
871,871,4y5KbLj7nD6CGw5Q4CDDx9,Mike Mitchell,2018-06-27T22:05:17Z,2015-01-06,1268.0,701,[],19,2018-03-01,51.6
872,872,4yFhoZImTmkFSIqws9sV4R,Menagerie,2014-04-10T07:13:04Z,2013-01-01,464.0,456,['louisiana metal'],8,2017-03-01,71.66666666666667
873,873,4yvcSjfu4PC0CYQyLy4wSq,Glass Animals,2015-04-03T22:39:25Z,2014-01-01,457.0,1002574,"['gauze pop', 'indie pop', 'indietronica', 'modern rock', 'shiver pop']",74,2016-09-01,48.0
874,874,4zICkO5VhPmhLCer127Pq0,Hibbity Dibbity,2017-09-01T05:22:29Z,2017-08-04,28.0,720,[],6,2015-02-01,27.066666666666666
875,875,4zXEe25IWFWVU48Q0BaK9q,Pottery,2019-03-27T21:42:56Z,2019-03-08,19.0,2951,"['chamber psych', 'garage psych', 'montreal indie']",27,2011-12-01,76.90322580645162
876,876,4zdQpx4G7MGKCtHrgs6N2E,Father Figures,2015-06-18T19:52:13Z,2013-05-02,777.0,33,[],0,2017-12-01,0.0
877,877,50DZ6ErP4fnnfknUijeIez,String Boys,2018-06-19T17:57:51Z,2018-05-09,14.0,65,[],3,2012-01-01,30.96666666666667
878,878,50K5QpawcyBo7eh99sZ2Al,Dil Withers,2016-08-02T16:58:34Z,2016-02-26,158.0,1909,[],24,2015-02-01,1.4838709677419355
879,879,50nN8IFD4xA67fI4jYbLV4,Kano,2016-03-25T05:10:22Z,2016-03-04,21.0,163249,"['grime', 'uk alternative hip hop', 'uk hip hop']",64,2014-03-01,35.96774193548387
880,880,50y2OzCSyTjOZqn65E4BPz,Compton White,2017-03-07T17:58:53Z,2016-07-22,228.0,1383,[],14,2015-08-01,6.548387096774194
881,881,519lIb4ZQM267yqJrVFhhY,Mark Ernestus’ Ndagga Rhythm Force,2016-11-15T20:10:58Z,2016-09-09,67.0,2617,['african electronic'],17,2017-04-01,0.0
882,882,51Pn4gGnZuyOMDfIT1Zy3N,The Underachievers,2016-03-25T05:11:25Z,2015-09-25,182.0,277696,"['hip hop', 'rap', 'underground hip hop']",61,2014-08-01,25.225806451612904
883,883,52ithxL8nGscRP6ocUO1SG,Ghazall,2019-09-17T15:48:58Z,2017-03-22,909.0,4031,"['arab alternative', 'palestinian pop']",24,2019-04-01,17.0
884,884,530iy3GzOTqWe9LEeiZuDO,Dumbo Gets Mad,2018-02-15T02:35:54Z,2013-09-22,1607.0,30080,"['indie garage rock', 'neo-psychedelic']",46,2013-02-01,15.642857142857142
885,885,530l1HsYHzQuOYFBDUOHHo,Pearl Django,2014-02-14T05:36:50Z,2012-06-19,605.0,7977,"['gypsy jazz', 'jazz guitar', 'rumba']",42,2013-01-01,35.5
886,886,53PSeUFq8tMZc0zdd1oUTG,Laolu,2019-02-04T03:28:46Z,2018-04-13,297.0,1380,[],37,2015-12-01,28.142857142857142
887,887,54AyzsMOUeZkvImnx2AEhI,Giulio Fagiolini,2017-08-07T17:13:08Z,2017-08-25,0.0,61,[],18,,
888,888,54KCNI7URCrG6yjQK3Ukow,Susanne Sundfør,2015-05-06T01:17:53Z,2012-03-23,1139.0,157877,"['art pop', 'electropop', 'metropopolis', 'norwegian indie', 'norwegian pop', 'norwegian rock']",56,2015-02-01,32.225806451612904
889,889,54tv11ndFfiqXiR03PwdlB,Adam Melchor,2017-06-22T20:09:18Z,2017-03-17,97.0,14412,['new jersey indie'],55,2019-10-01,11.733333333333333
890,890,54y3Jm8NZQngbfzynFAkDY,Abram Shook,2017-09-30T17:54:04Z,2017-06-16,106.0,1340,[],24,2014-01-01,42.0
891,891,55BOGnEb0pUuAgbxAwwbKV,Ghost-Note,2017-07-31T19:56:24Z,2015-10-16,654.0,20740,"['instrumental funk', 'modern funk', 'neo r&b']",37,2019-08-01,22.0
892,892,567ViviKGU4aOVHghv8W8J,Chiquita Magic,2019-05-23T19:19:36Z,2018-10-30,205.0,254,[],7,,
